age_group,accidents,severe_accidents,drivers,accident_rate,severe_accident_rate
16-19,11655,136,210120,55.468303826384926,0.6472491909385113
20-24,20038,234,360215,55.62788889968491,0.649612037255528
25-34,36925,440,885713,41.689576646159644,0.4967749146732632
35-44,32369,425,998515,32.417139452086346,0.4256320636144675
45-54,29643,448,957857,30.947208194960208,0.46771073343933384
55-64,24842,428,1095137,22.68391991139008,0.390818682959301
65 or older,21432,436,1192420,17.973532815618658,0.3656429781452844
